Sicil;Ad;Bölüm;Hat;Görev;Amir;İşe giriş
1322;Gökhan Şahin;Lojistik;Hat 1;Operatör;9016;2020-11-11
1323;Görkem Kara;Lojistik;Hat 2;Operatör;9017;2015-12-06
1324;Betül Aslan;Depo;Hat 1;Forklift;9018;2017-06-24
1325;Cihan Özkan;Kaynak;Hat 1;Robot Operatörü;9001;2023-07-26
1326;Levent Kaya;Kaynak;Hat 2;Robot Operatörü;9002;2018-04-28
1327;Onur Karaca;Kaynak;Hat 3;Kaynakçı;9003;2015-07-30
1328;Nesrin Balcı;Montaj;Hat 1;Takım Lideri;9004;2025-04-06
1329;Tuğba Yıldırım;Montaj;Hat 2;Forklift;9005;2022-12-30
1330;Havva Toprak;Montaj;Hat 3;Forklift;9006;2020-09-10
1331;Tuğba Şimşek;Montaj;Hat 4;Montajcı;9007;2024-05-23
1332;Ergün Çakır;Boya;Hat 1;Operatör;9008;2025-06-29
1333;Nihal Şahin;Boya;Hat 2;Boyacı;9009;2018-06-27
1334;Barış Tekin;Presleme;Hat 1;Pres Operatörü;9010;2019-12-07
1335;Aygül Şener;Presleme;Hat 2;Pres Operatörü;9011;2025-07-27
1336;Sinan Ünal;Kalite;Hat 1;Kalite Kontrol;9012;2018-12-15
1337;Melis Küçük;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2023-04-30
1338;Levent Ünal;Bakım;Hat 1;Elektrikçi;9014;2022-03-09
1339;Yusuf Ekinci;Bakım;Hat 2;Bakımcı;9015;2021-10-10
1340;Halil Coşkun;Lojistik;Hat 1;Sevkiyat;9016;2024-03-16
1341;Barış Avcı;Lojistik;Hat 2;Operatör;9017;2023-09-20
1342;Burak Koç;Depo;Hat 1;Forklift;9018;2018-06-10
1343;Emine Uçar;Kaynak;Hat 1;Robot Operatörü;9001;2026-01-16
1344;Seda Acar;Kaynak;Hat 2;Kaynakçı;9002;2022-11-04
1345;Gamze Arslan;Kaynak;Hat 3;Operatör;9003;2017-11-19
1346;Nihal Uysal;Montaj;Hat 1;Montajcı;9004;2018-01-27
1347;Yasemin Ekinci;Montaj;Hat 2;Forklift;9005;2019-02-26
1348;Aslı Korkmaz;Montaj;Hat 3;Montajcı;9006;2025-05-31
1349;Okan Ateş;Montaj;Hat 4;Operatör;9007;2022-10-09
1350;Esra Korkmaz;Boya;Hat 1;Boyacı;9008;2026-02-16
1351;Osman Ekinci;Boya;Hat 2;Kabin Operatörü;9009;2022-01-03
1352;İbrahim Çakır;Presleme;Hat 1;Operatör;9010;2017-05-19
1353;Burak Taş;Presleme;Hat 2;Operatör;9011;2020-10-29
1354;İbrahim Şahin;Kalite;Hat 1;Kalite Kontrol;9012;2020-12-18
1355;Hasan Aslan;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2021-11-01
1356;Rabia Balcı;Bakım;Hat 1;Mekanikçi;9014;2024-09-22
1357;Aygül Doğan;Bakım;Hat 2;Mekanikçi;9015;2025-10-03
1358;Esra Acar;Lojistik;Hat 1;Sevkiyat;9016;2017-09-17
1359;Hüseyin Polat;Lojistik;Hat 2;Sevkiyat;9017;2023-08-19
1360;Gamze Demir;Depo;Hat 1;Depocu;9018;2016-10-09
1361;Erhan Taş;Kaynak;Hat 1;Operatör;9001;2024-02-01
1362;Ayşe Özkan;Kaynak;Hat 2;Takım Lideri;9002;2023-02-08
1363;Dilek Aslan;Kaynak;Hat 3;Operatör;9003;2024-02-12
1364;Gökhan Erdoğan;Montaj;Hat 1;Takım Lideri;9004;2021-09-17
1365;Elif Özdemir;Montaj;Hat 2;Montajcı;9005;2019-12-21
1366;Uğur Şener;Montaj;Hat 3;Operatör;9006;2022-05-06
1367;Melis Sezer;Montaj;Hat 4;Operatör;9007;2023-06-03
1368;Taner Doğan;Boya;Hat 1;Operatör;9008;2021-12-09
1369;Gamze Gündoğdu;Boya;Hat 2;Kabin Operatörü;9009;2023-06-23
1370;Songül Sarı;Presleme;Hat 1;Kalıpçı;9010;2023-02-20
1371;Emine Balcı;Presleme;Hat 2;Pres Operatörü;9011;2019-11-26
1372;Sinan Karaca;Kalite;Hat 1;Denetçi;9012;2026-02-19
1373;Rabia Kurt;Kalite;Hat 2;Denetçi;9013;2024-05-26
1374;Onur Çakır;Bakım;Hat 1;Elektrikçi;9014;2023-03-10
1375;Pınar Sezer;Bakım;Hat 2;Elektrikçi;9015;2026-03-31
1376;Kemal Sarı;Lojistik;Hat 1;Operatör;9016;2024-01-07
1377;Gökhan Doğan;Lojistik;Hat 2;Operatör;9017;2022-03-04
1378;Okan Korkmaz;Depo;Hat 1;Forklift;9018;2019-08-08
1379;Zeynep Çetin;Kaynak;Hat 1;Robot Operatörü;9001;2025-10-04
1380;Uğur Çetin;Kaynak;Hat 2;Kaynakçı;9002;2021-10-18
1381;Uğur Aydın;Kaynak;Hat 3;Takım Lideri;9003;2015-02-20
1382;Yusuf Yılmaz;Montaj;Hat 1;Forklift;9004;2020-04-22
1383;Dilek Arslan;Montaj;Hat 2;Forklift;9005;2022-07-30
1384;Büşra Duman;Montaj;Hat 3;Montajcı;9006;2021-03-11
1385;Betül Polat;Montaj;Hat 4;Takım Lideri;9007;2025-10-11
1386;Onur Balcı;Boya;Hat 1;Boyacı;9008;2022-12-11
1387;Gamze Şahin;Boya;Hat 2;Operatör;9009;2024-10-19
1388;Hatice Yavuz;Presleme;Hat 1;Pres Operatörü;9010;2016-09-11
1389;Yusuf Aydın;Presleme;Hat 2;Operatör;9011;2019-08-04
1390;Levent Coşkun;Kalite;Hat 1;Denetçi;9012;2026-04-07
1391;Rabia Öztürk;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2022-03-29
1392;Ahmet Avcı;Bakım;Hat 1;Bakımcı;9014;2019-05-20
1393;Halil Koç;Bakım;Hat 2;Mekanikçi;9015;2021-12-04
1394;Gökhan Bal;Lojistik;Hat 1;Operatör;9016;2020-06-03
1395;Bülent Doğan;Lojistik;Hat 2;Forklift;9017;2016-11-28
1396;Ferhat Aktaş;Depo;Hat 1;Forklift;9018;2019-10-15
1397;Yavuz Toprak;Kaynak;Hat 1;Takım Lideri;9001;2020-02-04
1398;Burak Şahin;Kaynak;Hat 2;Robot Operatörü;9002;2018-03-11
1399;Ömer Yıldırım;Kaynak;Hat 3;Kaynakçı;9003;2025-02-24
1400;Ömer Aydın;Montaj;Hat 1;Forklift;9004;2016-02-09
1401;Yasemin Acar;Montaj;Hat 2;Operatör;9005;2025-03-24
1402;Kadir Başaran;Montaj;Hat 3;Forklift;9006;2017-05-17
1403;Halil Ekinci;Montaj;Hat 4;Montajcı;9007;2022-07-22
1404;Derya Erdoğan;Boya;Hat 1;Operatör;9008;2021-02-17
1405;Seda Uysal;Boya;Hat 2;Kabin Operatörü;9009;2017-11-28
1406;Osman Yavuz;Presleme;Hat 1;Operatör;9010;2015-08-17
1407;Hatice Acar;Presleme;Hat 2;Kalıpçı;9011;2020-09-24
1408;Ebru Kılıç;Kalite;Hat 1;Denetçi;9012;2023-02-21
1409;Hüseyin Koç;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2015-07-04
1410;Kübra Kurt;Bakım;Hat 1;Elektrikçi;9014;2024-08-26
1411;Uğur Arslan;Bakım;Hat 2;Bakımcı;9015;2023-04-14
1412;Sevgi Aktaş;Lojistik;Hat 1;Sevkiyat;9016;2025-07-21
1413;Recep Küçük;Lojistik;Hat 2;Forklift;9017;2022-11-06
1414;Ebru Şahin;Depo;Hat 1;Depocu;9018;2024-05-27
1415;Uğur Yılmaz;Kaynak;Hat 1;Robot Operatörü;9001;2025-10-30
1416;Halil Turan;Kaynak;Hat 2;Takım Lideri;9002;2025-03-13
1417;Levent Aydın;Kaynak;Hat 3;Operatör;9003;2023-11-09
1418;Halil Avcı;Montaj;Hat 1;Takım Lideri;9004;2017-04-17
1419;Sibel Aslan;Montaj;Hat 2;Operatör;9005;2017-09-25
1420;Hasan Büyük;Montaj;Hat 3;Operatör;9006;2020-11-02
1421;Tolga Yıldız;Montaj;Hat 4;Forklift;9007;2016-10-02
1422;Mehmet Avcı;Boya;Hat 1;Boyacı;9008;2015-12-13
1423;Ferhat Turan;Boya;Hat 2;Boyacı;9009;2023-12-27
1424;Murat Özkan;Presleme;Hat 1;Operatör;9010;2016-09-13
1425;Hüseyin Kurt;Presleme;Hat 2;Operatör;9011;2026-02-09
1426;Nazlı Kurt;Kalite;Hat 1;Kalite Kontrol;9012;2016-03-09
1427;İbrahim Acar;Kalite;Hat 2;Kalite Kontrol;9013;2017-04-07
1428;Hülya Şener;Bakım;Hat 1;Elektrikçi;9014;2025-06-29
1429;Derya Çetin;Bakım;Hat 2;Mekanikçi;9015;2020-10-15
1430;Ergün Korkmaz;Lojistik;Hat 1;Operatör;9016;2016-07-29
1431;Selim Şimşek;Lojistik;Hat 2;Sevkiyat;9017;2018-07-22
1432;Fatma Sarı;Depo;Hat 1;Forklift;9018;2024-09-28
1433;Recep Erdoğan;Kaynak;Hat 1;Robot Operatörü;9001;2025-06-25
1434;Gökhan Şimşek;Kaynak;Hat 2;Operatör;9002;2015-11-10
1435;Yusuf Çetin;Kaynak;Hat 3;Kaynakçı;9003;2017-07-17
1436;Ebru Erdoğan;Montaj;Hat 1;Montajcı;9004;2016-08-01
1437;Ferhat Arslan;Montaj;Hat 2;Operatör;9005;2021-02-08
1438;Hülya Çakır;Montaj;Hat 3;Forklift;9006;2020-02-05
1439;Görkem Uysal;Montaj;Hat 4;Takım Lideri;9007;2015-07-23
1440;Taner Gündoğdu;Boya;Hat 1;Operatör;9008;2017-10-15
1441;Havva Çakır;Boya;Hat 2;Boyacı;9009;2020-10-08
1442;Taner Küçük;Presleme;Hat 1;Operatör;9010;2025-10-26
1443;Havva Öztürk;Presleme;Hat 2;Operatör;9011;2020-01-30
1444;Zeynep Bal;Kalite;Hat 1;Kalite Kontrol;9012;2022-06-01
1445;Ceren Sarı;Kalite;Hat 2;Kalite Kontrol;9013;2015-12-09
1446;Emre Bozkurt;Bakım;Hat 1;Mekanikçi;9014;2019-01-24
1447;Esra Çetin;Bakım;Hat 2;Bakımcı;9015;2022-01-26
1448;Ceren Polat;Lojistik;Hat 1;Forklift;9016;2022-05-07
1449;Melike Aktaş;Lojistik;Hat 2;Forklift;9017;2016-10-19
1450;Şerife Aslan;Depo;Hat 1;Sayım Görevlisi;9018;2022-08-01
1451;Taner Toprak;Kaynak;Hat 1;Kaynakçı;9001;2026-02-14
1452;Hasan Arslan;Kaynak;Hat 2;Operatör;9002;2022-12-12
1453;Ömer Küçük;Kaynak;Hat 3;Kaynakçı;9003;2026-05-29
1454;Mehmet Aktaş;Montaj;Hat 1;Forklift;9004;2021-06-01
1455;Songül Çelik;Montaj;Hat 2;Forklift;9005;2020-07-14
1456;Yasemin Güler;Montaj;Hat 3;Operatör;9006;2025-01-26
1457;Volkan Aydın;Montaj;Hat 4;Montajcı;9007;2020-11-26
1458;Esra Çakır;Boya;Hat 1;Kabin Operatörü;9008;2025-08-24
1459;Rabia Aktaş;Boya;Hat 2;Kabin Operatörü;9009;2017-12-24
1460;Kübra Yalçın;Presleme;Hat 1;Kalıpçı;9010;2025-03-07
1461;Songül Uçar;Presleme;Hat 2;Pres Operatörü;9011;2026-04-02
1462;Sultan Erdem;Kalite;Hat 1;Denetçi;9012;2021-10-05
1463;Uğur Kılıç;Kalite;Hat 2;Denetçi;9013;2021-02-11
1464;Erhan Yalçın;Bakım;Hat 1;Mekanikçi;9014;2021-01-21
1465;Cihan Genç;Bakım;Hat 2;Elektrikçi;9015;2018-06-22
1466;Okan Karataş;Lojistik;Hat 1;Operatör;9016;2024-07-14
1467;Ayşe Sezer;Lojistik;Hat 2;Forklift;9017;2017-08-17
1468;Hasan Kaya;Depo;Hat 1;Depocu;9018;2023-10-15
1469;Ahmet Şener;Kaynak;Hat 1;Takım Lideri;9001;2023-10-04
1470;Elif Yalçın;Kaynak;Hat 2;Operatör;9002;2017-11-12
1471;Hüseyin Aydın;Kaynak;Hat 3;Robot Operatörü;9003;2022-03-15
1472;Fatma Güler;Montaj;Hat 1;Forklift;9004;2025-08-31
1473;Yavuz Taş;Montaj;Hat 2;Forklift;9005;2020-01-26
1474;Volkan Doğan;Montaj;Hat 3;Operatör;9006;2021-08-28
1475;Selim Özdemir;Montaj;Hat 4;Operatör;9007;2025-06-23
1476;Melike Doğan;Boya;Hat 1;Boyacı;9008;2019-11-01
1477;Ayşe Toprak;Boya;Hat 2;Kabin Operatörü;9009;2018-03-19
1478;Bülent Öztürk;Presleme;Hat 1;Kalıpçı;9010;2020-09-08
1479;Hüseyin Genç;Presleme;Hat 2;Pres Operatörü;9011;2026-07-13
1480;Ömer Kılıç;Kalite;Hat 1;Kalite Kontrol;9012;2016-12-16
1481;Serkan Ünal;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2020-04-14
1482;Rabia Toprak;Bakım;Hat 1;Mekanikçi;9014;2017-12-19
1483;Seda Doğan;Bakım;Hat 2;Mekanikçi;9015;2026-02-14
1484;Ramazan Karataş;Lojistik;Hat 1;Operatör;9016;2016-12-09
1485;Nihal Bulut;Lojistik;Hat 2;Forklift;9017;2020-09-19
1486;Tuğba Güneş;Depo;Hat 1;Forklift;9018;2018-10-22
1487;Nesrin Gündoğdu;Kaynak;Hat 1;Operatör;9001;2025-09-21
1488;Meryem Koç;Kaynak;Hat 2;Takım Lideri;9002;2026-02-03
1489;Tolga Koç;Kaynak;Hat 3;Kaynakçı;9003;2015-02-25
1490;Sibel Güneş;Montaj;Hat 1;Operatör;9004;2023-09-03
1491;Onur Bozkurt;Montaj;Hat 2;Takım Lideri;9005;2015-10-11
1492;Uğur Öztürk;Montaj;Hat 3;Forklift;9006;2022-11-23
1493;Yasemin Turan;Montaj;Hat 4;Montajcı;9007;2017-06-29
1494;Mustafa Küçük;Boya;Hat 1;Boyacı;9008;2025-07-26
1495;Elif Ekinci;Boya;Hat 2;Operatör;9009;2023-07-19
1496;Turgay Avcı;Presleme;Hat 1;Kalıpçı;9010;2022-03-23
1497;Tuğba Uysal;Presleme;Hat 2;Kalıpçı;9011;2015-12-16
1498;Mehmet Yavuz;Kalite;Hat 1;Kalite Kontrol;9012;2016-10-16
1499;Ergün Karaca;Kalite;Hat 2;Denetçi;9013;2021-03-14
1500;Melis Genç;Bakım;Hat 1;Elektrikçi;9014;2025-05-13
1501;Onur Polat;Bakım;Hat 2;Mekanikçi;9015;2025-04-28
1502;Merve Aslan;Lojistik;Hat 1;Sevkiyat;9016;2023-03-05
1503;Nesrin Yalçın;Lojistik;Hat 2;Operatör;9017;2016-04-12
1504;Yusuf Çakır;Depo;Hat 1;Sayım Görevlisi;9018;2015-09-25
1505;Ahmet Acar;Kaynak;Hat 1;Kaynakçı;9001;2022-02-02
1506;Okan Karaca;Kaynak;Hat 2;Kaynakçı;9002;2016-07-02
1507;Tuğba Toprak;Kaynak;Hat 3;Takım Lideri;9003;2017-06-08
1508;Turgay Turan;Montaj;Hat 1;Takım Lideri;9004;2021-02-21
1509;Halil Tosun;Montaj;Hat 2;Operatör;9005;2015-03-29
1510;Kübra Demir;Montaj;Hat 3;Operatör;9006;2023-11-22
1511;Murat Balcı;Montaj;Hat 4;Takım Lideri;9007;2017-07-09
1512;Ömer Çakır;Boya;Hat 1;Kabin Operatörü;9008;2022-07-23
1513;Melis Taş;Boya;Hat 2;Boyacı;9009;2026-03-31
1514;Pınar Kılıç;Presleme;Hat 1;Pres Operatörü;9010;2024-10-01
1515;Dilek Özdemir;Presleme;Hat 2;Pres Operatörü;9011;2017-08-04
1516;Ferhat Polat;Kalite;Hat 1;Kalite Kontrol;9012;2024-09-06
1517;Barış Ekinci;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2024-10-26
1518;Melis Kılıç;Bakım;Hat 1;Elektrikçi;9014;2024-05-03
1519;Kübra Sarı;Bakım;Hat 2;Bakımcı;9015;2025-12-20
1520;Sultan Demir;Lojistik;Hat 1;Sevkiyat;9016;2018-09-25
1521;Melike Başaran;Lojistik;Hat 2;Operatör;9017;2016-04-29
1522;Rabia Yıldız;Depo;Hat 1;Depocu;9018;2022-03-24
1523;Okan Demir;Kaynak;Hat 1;Takım Lideri;9001;2016-01-20
1524;Hüseyin Işık;Kaynak;Hat 2;Kaynakçı;9002;2015-04-29
1525;Halil Bozkurt;Kaynak;Hat 3;Robot Operatörü;9003;2015-08-10
1526;Ferhat Korkmaz;Montaj;Hat 1;Montajcı;9004;2026-07-23
1527;Sultan Şahin;Montaj;Hat 2;Takım Lideri;9005;2015-10-30
1528;Melike Korkmaz;Montaj;Hat 3;Takım Lideri;9006;2019-09-10
1529;Selim Acar;Montaj;Hat 4;Operatör;9007;2022-08-16
1530;Ali Taş;Boya;Hat 1;Kabin Operatörü;9008;2016-09-03
1531;Emre Karaca;Boya;Hat 2;Kabin Operatörü;9009;2025-07-29
1532;Meryem Aktaş;Presleme;Hat 1;Kalıpçı;9010;2015-06-18
1533;Turgay Kara;Presleme;Hat 2;Kalıpçı;9011;2026-04-13
1534;Yavuz Sarı;Kalite;Hat 1;Kalite Kontrol;9012;2020-07-28
1535;Pınar Uysal;Kalite;Hat 2;Denetçi;9013;2018-09-10
1536;Recep Uysal;Bakım;Hat 1;Mekanikçi;9014;2024-03-20
1537;Hasan Yıldız;Bakım;Hat 2;Elektrikçi;9015;2022-03-10
1538;Ali Güler;Lojistik;Hat 1;Sevkiyat;9016;2016-12-24
1539;Hatice Çakır;Lojistik;Hat 2;Sevkiyat;9017;2025-07-17
1540;Aygül Balcı;Depo;Hat 1;Depocu;9018;2015-02-22
1541;Tolga Kara;Kaynak;Hat 1;Kaynakçı;9001;2015-08-12
1542;Aslı Güneş;Kaynak;Hat 2;Kaynakçı;9002;2025-03-23
1543;Halil Aydın;Kaynak;Hat 3;Takım Lideri;9003;2016-09-05
1544;Ömer Güneş;Montaj;Hat 1;Operatör;9004;2019-12-22
1545;Osman Genç;Montaj;Hat 2;Montajcı;9005;2023-03-29
1546;Hasan Balcı;Montaj;Hat 3;Operatör;9006;2023-10-18
1547;Recep Ekinci;Montaj;Hat 4;Montajcı;9007;2018-07-10
1548;Halil Polat;Boya;Hat 1;Operatör;9008;2017-10-30
1549;Okan Ünal;Boya;Hat 2;Operatör;9009;2017-03-10
1550;Gamze Kılıç;Presleme;Hat 1;Pres Operatörü;9010;2022-03-08
1551;Seda Aslan;Presleme;Hat 2;Operatör;9011;2025-06-16
1552;Zeynep Bozkurt;Kalite;Hat 1;Ölçüm Teknisyeni;9012;2025-10-04
1553;Burak Korkmaz;Kalite;Hat 2;Kalite Kontrol;9013;2020-06-19
1554;Esra Küçük;Bakım;Hat 1;Bakımcı;9014;2026-01-25
1555;Dilek Kurt;Bakım;Hat 2;Bakımcı;9015;2023-05-16
1556;Ferhat Erdem;Lojistik;Hat 1;Sevkiyat;9016;2024-05-28
1557;Emine Korkmaz;Lojistik;Hat 2;Forklift;9017;2019-12-23
1558;Emre Tosun;Depo;Hat 1;Forklift;9018;2019-01-24
1559;Uğur Sarı;Kaynak;Hat 1;Robot Operatörü;9001;2019-09-06
1560;Görkem Yılmaz;Kaynak;Hat 2;Operatör;9002;2016-02-16
1561;Zehra Özdemir;Kaynak;Hat 3;Takım Lideri;9003;2021-02-18
1562;Meryem Erdoğan;Montaj;Hat 1;Montajcı;9004;2026-03-23
1563;Barış Uysal;Montaj;Hat 2;Takım Lideri;9005;2019-05-23
1564;Emine Koç;Montaj;Hat 3;Forklift;9006;2021-09-03
1565;Betül Acar;Montaj;Hat 4;Operatör;9007;2023-12-06
1566;Nurten Yıldırım;Boya;Hat 1;Kabin Operatörü;9008;2016-08-13
1567;Sinan Sezer;Boya;Hat 2;Kabin Operatörü;9009;2020-07-31
1568;Kübra Taş;Presleme;Hat 1;Kalıpçı;9010;2024-01-05
1569;Serkan Şener;Presleme;Hat 2;Kalıpçı;9011;2022-11-28
1570;Gökhan Kara;Kalite;Hat 1;Denetçi;9012;2021-01-17
1571;Büşra Karaca;Kalite;Hat 2;Denetçi;9013;2019-05-05
1572;Nazlı Yalçın;Bakım;Hat 1;Mekanikçi;9014;2016-09-28
1573;İbrahim Kılıç;Bakım;Hat 2;Mekanikçi;9015;2019-12-22
1574;Büşra Ünal;Lojistik;Hat 1;Forklift;9016;2025-03-13
1575;Fatma Acar;Lojistik;Hat 2;Operatör;9017;2017-03-02
1576;Hasan Bal;Depo;Hat 1;Forklift;9018;2019-03-13
1577;Burak Kara;Kaynak;Hat 1;Robot Operatörü;9001;2017-05-28
1578;Emine Aydın;Kaynak;Hat 2;Operatör;9002;2021-12-18
1579;Osman Özdemir;Kaynak;Hat 3;Kaynakçı;9003;2022-09-28
1580;Ceren Uysal;Montaj;Hat 1;Operatör;9004;2017-01-05
1581;Serkan Doğan;Montaj;Hat 2;Montajcı;9005;2022-06-30
1582;Aslı Küçük;Montaj;Hat 3;Takım Lideri;9006;2022-04-23
1583;Songül Toprak;Montaj;Hat 4;Montajcı;9007;2022-11-29
1584;Görkem Koç;Boya;Hat 1;Operatör;9008;2025-09-10
1585;Sultan Aslan;Boya;Hat 2;Kabin Operatörü;9009;2015-10-22
1586;Uğur Ünal;Presleme;Hat 1;Pres Operatörü;9010;2022-05-02
1587;Hülya Yıldız;Presleme;Hat 2;Pres Operatörü;9011;2021-11-11
1588;Havva Doğan;Kalite;Hat 1;Ölçüm Teknisyeni;9012;2016-01-06
1589;Mustafa Turan;Kalite;Hat 2;Denetçi;9013;2020-12-02
1590;Ahmet Kaya;Bakım;Hat 1;Bakımcı;9014;2015-04-27
1591;Bülent Ateş;Bakım;Hat 2;Bakımcı;9015;2022-10-06
1592;Nazlı Sezer;Lojistik;Hat 1;Sevkiyat;9016;2019-07-20
1593;Taner Uysal;Lojistik;Hat 2;Forklift;9017;2021-10-14
1594;Gökhan Avcı;Depo;Hat 1;Depocu;9018;2023-04-02
1595;Derya Işık;Kaynak;Hat 1;Kaynakçı;9001;2022-01-22
1596;Fatma Doğan;Kaynak;Hat 2;Robot Operatörü;9002;2021-05-30
1597;Pınar Çakır;Kaynak;Hat 3;Operatör;9003;2026-06-23
1598;İbrahim Aktaş;Montaj;Hat 1;Montajcı;9004;2025-06-13
1599;Murat Erdoğan;Montaj;Hat 2;Operatör;9005;2020-04-29
1600;Yasemin Doğan;Montaj;Hat 3;Takım Lideri;9006;2018-04-27
1601;Bülent Toprak;Montaj;Hat 4;Forklift;9007;2024-06-15
1602;Gökhan Sezer;Boya;Hat 1;Boyacı;9008;2016-02-07
1603;Volkan Arslan;Boya;Hat 2;Boyacı;9009;2024-11-28
1604;Ramazan Kaya;Presleme;Hat 1;Kalıpçı;9010;2015-06-25
1605;İbrahim Avcı;Presleme;Hat 2;Kalıpçı;9011;2019-05-22
1606;Recep Aksoy;Kalite;Hat 1;Ölçüm Teknisyeni;9012;2025-07-11
1607;Hatice Güneş;Kalite;Hat 2;Ölçüm Teknisyeni;9013;2022-10-08
1608;Yusuf Coşkun;Bakım;Hat 1;Mekanikçi;9014;2020-07-29
1609;Hasan Özkan;Bakım;Hat 2;Mekanikçi;9015;2022-10-26
1610;Songül Başaran;Lojistik;Hat 1;Operatör;9016;2025-02-04
1611;Nurten Işık;Lojistik;Hat 2;Forklift;9017;2024-04-27
1612;Onur Uçar;Depo;Hat 1;Sayım Görevlisi;9018;2020-03-03
1613;Büşra Sarı;Kaynak;Hat 1;Robot Operatörü;9001;2017-09-14
1614;Gökhan Korkmaz;Kaynak;Hat 2;Takım Lideri;9002;2024-02-18
1615;Kadir Yılmaz;Kaynak;Hat 3;Takım Lideri;9003;2017-07-25
1616;Bülent Duman;Montaj;Hat 1;Takım Lideri;9004;2017-03-24
1617;Murat Çelik;Montaj;Hat 2;Takım Lideri;9005;2018-09-14
1618;Nesrin Polat;Montaj;Hat 3;Montajcı;9006;2026-07-08
1619;Selim Kara;Montaj;Hat 4;Operatör;9007;2023-07-23
1620;Gamze Güneş;Boya;Hat 1;Kabin Operatörü;9008;2022-07-02
1621;Hüseyin Şener;Boya;Hat 2;Boyacı;9009;2026-04-05
1622;Pınar Toprak;Presleme;Hat 1;Pres Operatörü;9010;2024-09-25
1623;Ahmet Güler;Presleme;Hat 2;Kalıpçı;9011;2021-10-08
1624;Taner Korkmaz;Kalite;Hat 1;Kalite Kontrol;9012;2020-03-14
1625;Rabia Demir;Kalite;Hat 2;Kalite Kontrol;9013;2019-01-04
1626;Dilek Doğan;Bakım;Hat 1;Elektrikçi;9014;2024-09-15
1627;Uğur Aktaş;Bakım;Hat 2;Elektrikçi;9015;2015-09-25
1628;Serkan Işık;Lojistik;Hat 1;Operatör;9016;2023-10-08
1629;Ramazan Aslan;Lojistik;Hat 2;Sevkiyat;9017;2019-07-28
1630;Ahmet Uçar;Depo;Hat 1;Depocu;9018;2023-05-22
1631;Mehmet Sezer;Kaynak;Hat 1;Takım Lideri;9001;2016-12-15
1632;Erhan Kılıç;Kaynak;Hat 2;Kaynakçı;9002;2025-01-27
1633;Büşra Tekin;Kaynak;Hat 3;Kaynakçı;9003;2024-06-29
1634;Sevgi Aksoy;Montaj;Hat 1;Takım Lideri;9004;2015-06-16
1635;Halil Küçük;Montaj;Hat 2;Forklift;9005;2026-03-21
1636;Osman Arslan;Montaj;Hat 3;Operatör;9006;2020-10-05
1637;Emine Öztürk;Montaj;Hat 4;Montajcı;9007;2019-11-02
1638;Nazlı Ekinci;Boya;Hat 1;Boyacı;9008;2021-10-28
1639;Serkan Uysal;Boya;Hat 2;Operatör;9009;2021-05-11
1640;Şule Öztürk;Presleme;Hat 1;Pres Operatörü;9010;2021-11-08
1641;Kadir Avcı;Presleme;Hat 2;Operatör;9011;2026-04-07
1642;Ferhat Ateş;Kalite;Hat 1;Denetçi;9012;2018-04-25
1643;Volkan Tekin;Kalite;Hat 2;Kalite Kontrol;9013;2015-09-21
1644;Havva Kurt;Bakım;Hat 1;Mekanikçi;9014;2019-10-20
1645;Melis Bal;Bakım;Hat 2;Bakımcı;9015;2023-06-04
1646;Songül Kara;Lojistik;Hat 1;Operatör;9016;2025-06-20
1647;Ayşe Tekin;Lojistik;Hat 2;Sevkiyat;9017;2023-11-08
1648;Betül Çetin;Depo;Hat 1;Forklift;9018;2025-07-24
1649;Murat Koç;Kaynak;Hat 1;Kaynakçı;9001;2016-11-29
1650;Ergün Taş;Kaynak;Hat 2;Takım Lideri;9002;2016-01-30
1651;Kemal Güneş;Kaynak;Hat 3;Takım Lideri;9003;2020-07-14
1652;Tuğba Kaya;Montaj;Hat 1;Forklift;9004;2023-09-14
1653;Özlem Ekinci;Montaj;Hat 2;Operatör;9005;2020-02-28
1654;Sibel Sezer;Montaj;Hat 3;Takım Lideri;9006;2018-08-20
1655;Ahmet Balcı;Montaj;Hat 4;Montajcı;9007;2023-04-01
1656;Ömer Işık;Boya;Hat 1;Operatör;9008;2022-03-14
1657;Okan Öztürk;Boya;Hat 2;Operatör;9009;2020-01-19
1658;Emine Kara;Presleme;Hat 1;Pres Operatörü;9010;2023-07-07
1659;Recep Uçar;Presleme;Hat 2;Pres Operatörü;9011;2018-07-22
1660;Derya Arslan;Kalite;Hat 1;Ölçüm Teknisyeni;9012;2017-10-29
1661;Uğur Ateş;Kalite;Hat 2;Kalite Kontrol;9013;2019-07-29
1662;Aygül Korkmaz;Bakım;Hat 1;Mekanikçi;9014;2025-01-22
1663;Selim Genç;Bakım;Hat 2;Bakımcı;9015;2020-07-29
1664;Yusuf Sezer;Lojistik;Hat 1;Forklift;9016;2018-12-16
1665;Ferhat Duman;Lojistik;Hat 2;Sevkiyat;9017;2022-07-27
1666;Hüseyin Başaran;Depo;Hat 1;Forklift;9018;2023-06-10
1667;Yavuz Koç;Kaynak;Hat 1;Kaynakçı;9001;2026-01-27
